City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
580,vila franca do campo,37.7167,-25.4333,63.01,99,100,32.59,PT,1701299672
581,manado,1.487,124.8455,81.37,89,40,1.14,ID,1701299672
582,san rafael del yuma,18.4299,-68.6739,78.37,83,21,6.73,DO,1701299673
583,eureka,40.8021,-124.1637,60.21,70,28,4.0,US,1701299567
584,leh,34.1667,77.5833,27.23,76,100,1.05,IN,1701299673
585,mosjoen,65.836,13.1908,23.52,80,100,2.3,NO,1701299674
586,buka,40.8108,69.1986,47.95,88,100,6.38,UZ,1701299674
587,ed damer,17.5928,33.9592,77.86,55,1,9.4,SD,1701299674
588,tubarjal,30.4999,38.216,56.46,57,0,8.34,SA,1701299675
589,antonio enes,-16.2325,39.9086,81.54,74,100,9.15,MZ,1701299675
590,timimoun,29.2639,0.231,52.18,22,0,2.3,DZ,1701299675
591,menongue,-14.6585,17.691,66.67,87,99,3.74,AO,1701299675
592,lake havasu city,34.4839,-114.3224,68.22,24,51,3.44,US,1701299676
593,winnipeg,49.8844,-97.147,33.87,79,20,5.99,CA,1701299586
594,alaghsas,17.0187,8.0168,77.11,16,2,9.44,NE,1701299676
595,villiers,-27.0303,28.6006,54.52,70,99,15.26,ZA,1701299676
596,shevchenko,48.5,35.0,32.5,75,52,11.18,UA,1701299677
597,kourou,5.1552,-52.6478,80.65,86,11,6.69,GF,1701299677
598,mahanoro,-19.9,48.8,77.05,91,36,9.98,MG,1701299677
599,nova vicosa,-17.8919,-39.3719,77.88,80,82,14.05,BR,1701299677
